"Gemeente","statcode","Week 11","Week 12","Week 13","Week 14"
"Appingedam","GM0003","1.04","1.39","0.35","2.09"
"Delfzijl","GM0010","0.61","1.06","0.61","0.61"
"Groningen (gemeente)","GM0014","0.93","1.13","1.02","1.13"
"Loppersum","GM0024","1.29","0.43","0.00","1.29"
"Almere","GM0034","1.28","1.06","0.80","1.01"
"Stadskanaal","GM0037","1.43","1.24","0.76","0.86"
"Veendam","GM0047","0.95","1.22","0.95","0.41"
"Zeewolde","GM0050","0.42","0.83","1.25","1.25"
"Achtkarspelen","GM0059","0.22","1.09","1.09","0.87"
"Ameland","GM0060","1.25","0.00","0.00","0.00"
"Harlingen","GM0072","0.60","0.60","1.50","1.50"
"Heerenveen","GM0074","1.20","0.60","1.54","1.71"
"Leeuwarden","GM0080","0.98","0.98","1.11","0.68"
"Ooststellingwerf","GM0085","0.68","1.69","0.34","0.17"
"Opsterland","GM0086","1.06","0.91","0.76","0.61"
"Schiermonnikoog","GM0088","0.00","1.33","0.00","0.00"
"Smallingerland","GM0090","1.36","1.02","1.14","1.25"
"Terschelling","GM0093","1.40","0.00","3.50","0.00"
"Vlieland","GM0096","3.00","0.00","0.00","0.00"
"Weststellingwerf","GM0098","0.74","1.03","1.03","0.88"
"Assen","GM0106","1.71","0.89","1.38","0.89"
"Coevorden","GM0109","0.83","0.52","0.73","1.67"
"Emmen","GM0114","1.11","1.11","0.95","1.07"
"Hoogeveen","GM0118","0.36","1.18","0.73","0.82"
"Meppel","GM0119","0.61","0.91","1.52","1.52"
"Almelo","GM0141","1.01","1.01","1.58","0.58"
"Borne","GM0147","1.28","1.54","1.79","1.79"
"Dalfsen","GM0148","0.96","0.96","0.58","2.50"
"Deventer","GM0150","1.15","1.15","2.42","2.74"
"Enschede","GM0153","1.26","0.95","1.53","0.99"
"Haaksbergen","GM0158","1.02","1.84","0.82","1.02"
"Hardenberg","GM0160","0.89","0.89","0.45","1.52"
"Hellendoorn","GM0163","0.96","0.68","0.96","1.10"
"Hengelo (O.)","GM0164","1.03","0.98","0.69","0.86"
"Kampen","GM0166","1.07","1.31","2.26","2.98"
"Losser","GM0168","1.09","0.87","0.43","1.09"
"Noordoostpolder","GM0171","0.81","0.81","0.70","0.81"
"Oldenzaal","GM0173","1.19","1.34","1.79","1.04"
"Ommen","GM0175","0.56","1.41","1.41","1.41"
"Raalte","GM0177","1.18","0.79","1.58","1.97"
"Staphorst","GM0180","1.50","1.00","1.00","2.00"
"Tubbergen","GM0183","0.65","0.87","0.87","1.52"
"Urk","GM0184","1.13","0.00","1.13","2.25"
"Wierden","GM0189","0.77","1.35","0.96","0.77"
"Zwolle","GM0193","1.31","2.00","2.34","2.06"
"Aalten","GM0197","1.36","0.85","1.36","1.36"
"Apeldoorn","GM0200","1.02","1.49","1.68","1.49"
"Arnhem","GM0202","1.22","1.33","1.10","1.63"
"Barneveld","GM0203","0.94","1.29","0.94","1.53"
"Beuningen","GM0209","0.59","0.88","0.59","2.35"
"Brummen","GM0213","1.62","2.70","1.62","1.89"
"Buren","GM0214","0.65","0.43","1.30","1.96"
"Culemborg","GM0216","1.40","0.93","1.86","2.09"
"Doesburg","GM0221","0.43","1.30","1.30","1.30"
"Doetinchem","GM0222","1.08","1.00","0.58","1.25"
"Druten","GM0225","0.31","1.25","1.88","3.44"
"Duiven","GM0226","1.63","0.70","0.70","1.16"
"Ede","GM0228","0.74","1.42","1.16","1.53"
"Elburg","GM0230","0.85","0.85","1.06","1.28"
"Epe","GM0232","0.72","1.45","1.74","1.74"
"Ermelo","GM0233","1.05","0.88","1.40","2.11"
"Harderwijk","GM0243","1.62","1.62","1.22","1.35"
"Hattem","GM0244","0.36","1.44","1.44","0.72"
"Heerde","GM0246","0.98","1.95","4.63","5.12"
"Heumen","GM0252","1.43","1.79","2.50","2.50"
"Lochem","GM0262","1.34","0.85","0.85","1.83"
"Maasdriel","GM0263","1.62","1.08","1.35","1.62"
"Nijkerk","GM0267","1.07","1.25","1.61","1.61"
"Nijmegen","GM0268","0.81","0.84","1.86","1.89"
"Oldebroek","GM0269","1.36","1.14","1.82","1.82"
"Putten","GM0273","0.89","0.00","0.67","0.89"
"Renkum","GM0274","0.63","1.25","0.88","0.75"
"Rheden","GM0275","1.18","0.94","1.42","1.73"
"Rozendaal","GM0277","0.00","1.00","0.00","0.00"
"Scherpenzeel","GM0279","1.89","0.95","1.42","0.47"
"Tiel","GM0281","0.85","1.10","1.22","1.46"
"Voorst","GM0285","0.96","0.00","1.15","1.54"
"Wageningen","GM0289","0.96","1.17","1.38","1.17"
"Westervoort","GM0293","1.82","0.00","1.36","2.73"
"Winterswijk","GM0294","0.59","1.62","0.88","0.29"
"Wijchen","GM0296","1.11","0.83","1.67","1.25"
"Zaltbommel","GM0297","1.06","0.21","1.49","2.13"
"Zevenaar","GM0299","0.97","1.29","1.61","0.65"
"Zutphen","GM0301","0.65","0.93","1.20","0.93"
"Nunspeet","GM0302","1.58","1.75","2.11","4.21"
"Dronten","GM0303","1.21","1.38","1.03","1.55"
"Amersfoort","GM0307","0.75","1.00","1.34","1.38"
"Baarn","GM0308","1.15","1.31","0.98","0.98"
"De Bilt","GM0310","0.48","1.05","0.89","0.40"
"Bunnik","GM0312","0.87","1.74","0.00","1.74"
"Bunschoten","GM0313","0.65","0.32","1.29","1.94"
"Eemnes","GM0317","1.29","1.29","1.29","0.64"
"Houten","GM0321","1.46","1.46","0.63","3.33"
"Leusden","GM0327","1.71","2.44","1.46","1.46"
"Lopik","GM0331","0.53","0.00","1.06","1.59"
"Montfoort","GM0335","1.80","0.60","0.00","3.60"
"Renswoude","GM0339","0.00","0.71","0.71","0.71"
"Rhenen","GM0340","0.24","0.98","1.22","1.46"
"Soest","GM0342","1.21","0.91","1.52","0.91"
"Utrecht (gemeente)","GM0344","1.22","0.97","1.77","1.77"
"Veenendaal","GM0345","0.50","1.50","1.50","1.50"
"Woudenberg","GM0351","0.00","0.45","1.35","1.80"
"Wijk bij Duurstede","GM0352","0.61","0.00","1.43","0.41"
"IJsselstein","GM0353","0.68","1.36","2.95","5.00"
"Zeist","GM0355","1.27","0.57","0.96","1.34"
"Nieuwegein","GM0356","0.71","0.71","0.95","1.90"
"Aalsmeer","GM0358","0.67","0.67","1.33","0.33"
"Alkmaar","GM0361","1.06","1.33","1.83","1.28"
"Amstelveen","GM0362","1.32","1.13","1.26","1.95"
"Amsterdam","GM0363","0.91","1.08","1.53","1.68"
"Beemster","GM0370","0.53","1.07","1.07","0.00"
"Bergen (NH.)","GM0373","2.05","0.26","1.28","1.41"
"Beverwijk","GM0375","0.88","1.50","1.63","1.25"
"Blaricum","GM0376","0.88","0.00","1.75","2.63"
"Bloemendaal","GM0377","0.98","2.35","1.18","1.57"
"Castricum","GM0383","1.01","1.01","1.45","2.17"
"Diemen","GM0384","0.91","0.91","0.68","1.59"
"Edam-Volendam","GM0385","0.76","1.77","0.51","0.89"
"Enkhuizen","GM0388","1.38","1.38","1.72","3.45"
"Haarlem","GM0392","1.10","0.95","1.59","1.74"
"Haarlemmermeer","GM0394","1.17","1.03","1.13","1.60"
"Heemskerk","GM0396","0.78","1.11","0.78","1.33"
"Heemstede","GM0397","0.97","1.61","2.90","2.90"
"Heerhugowaard","GM0398","1.17","2.08","1.69","1.17"
"Heiloo","GM0399","1.00","1.80","0.60","0.80"
"Den Helder","GM0400","0.94","0.87","0.79","1.50"
"Hilversum","GM0402","0.90","0.62","1.40","1.40"
"Hoorn","GM0405","0.75","0.75","1.65","1.20"
"Huizen","GM0406","1.77","0.21","1.56","1.15"
"Landsmeer","GM0415","0.00","0.00","2.00","2.00"
"Langedijk","GM0416","1.09","1.96","1.52","1.09"
"Laren (NH.)","GM0417","0.38","1.92","1.15","1.15"
"Medemblik","GM0420","0.90","1.10","0.80","1.20"
"Oostzaan","GM0431","0.86","0.00","0.86","0.43"
"Opmeer","GM0432","1.50","2.00","1.50","0.50"
"Ouder-Amstel","GM0437","0.39","1.17","1.57","0.39"
"Purmerend","GM0439","1.12","1.26","1.68","1.26"
"Schagen","GM0441","0.79","0.89","0.50","1.09"
"Texel","GM0448","0.94","0.94","1.25","1.88"
"Uitgeest","GM0450","0.53","0.00","1.59","0.53"
"Uithoorn","GM0451","1.43","2.38","0.24","1.19"
"Velsen","GM0453","0.66","1.23","1.23","2.62"
"Weesp","GM0457","0.67","1.11","1.56","1.11"
"Zandvoort","GM0473","1.33","1.33","2.22","1.78"
"Zaanstad","GM0479","0.80","1.00","0.86","1.36"
"Alblasserdam","GM0482","0.29","1.14","0.57","0.29"
"Alphen aan den Rijn","GM0484","1.12","1.01","0.73","1.40"
"Barendrecht","GM0489","1.01","1.01","0.89","0.76"
"Drechterland","GM0498","1.04","1.38","1.38","1.38"
"Brielle","GM0501","1.23","1.64","1.23","1.64"
"Capelle aan den IJssel","GM0502","1.11","1.11","1.11","1.88"
"Delft","GM0503","0.88","1.01","1.07","0.88"
"Dordrecht","GM0505","0.91","0.82","1.16","1.47"
"Gorinchem","GM0512","1.61","1.29","0.81","2.26"
"Gouda","GM0513","0.88","0.95","1.46","1.46"
"'s-Gravenhage (gemeente)","GM0518","0.81","1.00","1.01","1.73"
"Hardinxveld-Giessendam","GM0523","1.28","0.77","0.77","1.28"
"Hellevoetsluis","GM0530","0.78","1.56","1.09","1.41"
"Hendrik-Ido-Ambacht","GM0531","0.77","0.38","0.19","0.58"
"Stede Broec","GM0532","2.12","1.52","1.21","1.82"
"Hillegom","GM0534","0.91","0.91","0.68","0.45"
"Katwijk","GM0537","0.76","0.91","0.98","0.91"
"Krimpen aan den IJssel","GM0542","0.96","1.73","1.73","1.92"
"Leiden","GM0546","0.82","0.87","1.22","1.38"
"Leiderdorp","GM0547","1.22","0.82","1.43","1.63"
"Lisse","GM0553","0.31","0.94","0.94","2.19"
"Maassluis","GM0556","0.72","1.01","0.43","1.30"
"Nieuwkoop","GM0569","1.52","1.09","1.09","1.30"
"Noordwijk","GM0575","0.95","0.24","1.43","1.43"
"Oegstgeest","GM0579","1.06","0.21","0.85","1.49"
"Oudewater","GM0589","3.50","2.33","2.33","1.75"
"Papendrecht","GM0590","1.36","0.68","1.69","1.19"
"Ridderkerk","GM0597","0.97","2.58","1.51","1.61"
"Rotterdam","GM0599","1.00","1.09","1.20","1.62"
"Rijswijk (ZH.)","GM0603","0.88","1.14","1.23","1.49"
"Schiedam","GM0606","1.26","0.96","0.72","0.72"
"Sliedrecht","GM0610","0.31","0.78","1.56","0.63"
"Albrandswaard","GM0613","1.11","1.39","1.39","0.83"
"Westvoorne","GM0614","0.64","0.21","0.64","0.43"
"Vlaardingen","GM0622","1.25","0.88","1.00","1.44"
"Voorschoten","GM0626","0.79","0.79","0.95","1.75"
"Waddinxveen","GM0627","1.46","0.42","1.04","1.04"
"Wassenaar","GM0629","2.15","1.69","0.77","0.92"
"Woerden","GM0632","1.97","1.05","1.32","1.97"
"Zoetermeer","GM0637","1.17","0.89","1.23","1.40"
"Zoeterwoude","GM0638","0.44","0.44","1.31","0.44"
"Zwijndrecht","GM0642","0.78","0.95","0.78","0.86"
"Borsele","GM0654","1.13","0.38","1.50","2.25"
"Goes","GM0664","0.56","2.70","0.90","1.35"
"West Maas en Waal","GM0668","0.53","1.32","2.89","1.58"
"Hulst","GM0677","1.13","0.81","1.13","1.29"
"Kapelle","GM0678","1.39","0.70","1.04","0.70"
"Middelburg (Z.)","GM0687","0.92","1.12","1.02","0.92"
"Reimerswaal","GM0703","1.67","1.39","0.83","1.39"
"Terneuzen","GM0715","0.93","0.53","0.79","0.93"
"Tholen","GM0716","0.91","1.45","0.73","2.18"
"Veere","GM0717","1.32","0.79","1.32","0.26"
"Vlissingen","GM0718","1.03","1.03","1.12","0.84"
"De Ronde Venen","GM0736","1.30","1.01","1.01","0.87"
"Tytsjerksteradiel","GM0737","2.18","2.73","1.27","1.09"
"Asten","GM0743","1.96","1.57","1.96","3.52"
"Baarle-Nassau","GM0744","1.20","2.40","1.80","2.40"
"Bergen op Zoom","GM0748","0.96","1.10","0.81","0.88"
"Best","GM0753","0.92","0.77","1.54","0.62"
"Boekel","GM0755","2.12","1.06","7.41","3.71"
"Boxmeer","GM0756","0.78","1.96","1.76","1.96"
"Boxtel","GM0757","1.45","1.94","3.06","3.06"
"Breda","GM0758","1.33","1.33","1.47","1.44"
"Deurne","GM0762","0.45","2.09","1.49","2.09"
"Pekela","GM0765","0.33","0.33","0.33","1.00"
"Dongen","GM0766","1.11","0.89","2.22","4.44"
"Eersel","GM0770","1.58","1.05","0.79","1.32"
"Eindhoven","GM0772","1.10","1.17","1.71","1.56"
"Etten-Leur","GM0777","1.46","0.85","2.32","2.56"
"Geertruidenberg","GM0779","0.43","1.30","1.30","0.87"
"Gilze en Rijen","GM0784","0.65","0.43","1.52","1.96"
"Goirle","GM0785","0.57","0.75","2.64","1.70"
"Grave","GM0786","1.67","0.83","2.08","6.25"
"Haaren","GM0788","1.61","1.61","2.26","0.00"
"Helmond","GM0794","0.97","1.70","1.82","2.48"
"'s-Hertogenbosch","GM0796","1.57","1.57","1.97","2.87"
"Heusden","GM0797","0.71","1.43","2.02","0.95"
"Hilvarenbeek","GM0798","1.35","0.90","1.35","2.25"
"Loon op Zand","GM0809","0.87","1.52","1.09","1.09"
"Mill en Sint Hubert","GM0815","1.40","0.47","0.00","3.27"
"Nuenen, Gerwen en Nederwetten","GM0820","0.75","0.50","2.50","2.00"
"Oirschot","GM0823","0.93","0.70","1.63","1.16"
"Oisterwijk","GM0824","0.68","1.02","1.86","0.68"
"Oosterhout","GM0826","0.73","0.65","1.30","1.14"
"Oss","GM0828","0.91","1.46","2.74","3.41"
"Rucphen","GM0840","0.85","0.85","1.91","1.49"
"Sint-Michielsgestel","GM0845","1.23","2.46","2.28","2.46"
"Someren","GM0847","1.78","1.56","0.89","3.56"
"Son en Breugel","GM0848","1.86","1.16","0.47","1.16"
"Steenbergen","GM0851","0.43","0.85","1.06","1.06"
"Waterland","GM0852","1.58","1.05","0.79","0.53"
"Tilburg","GM0855","1.00","2.22","2.68","2.71"
"Uden","GM0856","2.10","2.90","6.77","6.13"
"Valkenswaard","GM0858","1.08","0.95","1.62","3.38"
"Veldhoven","GM0861","0.67","2.17","2.17","1.83"
"Vught","GM0865","1.34","1.64","1.04","1.19"
"Waalre","GM0866","0.93","1.63","0.70","0.93"
"Waalwijk","GM0867","0.78","1.17","2.72","1.65"
"Woensdrecht","GM0873","0.92","0.92","1.38","0.92"
"Zundert","GM0879","1.96","0.98","1.76","2.35"
"Wormerland","GM0880","0.90","0.90","1.20","0.90"
"Landgraaf","GM0882","1.14","1.14","1.70","2.27"
"Beek (L.)","GM0888","0.63","0.21","1.25","0.63"
"Beesel","GM0889","1.04","0.70","2.09","1.74"
"Bergen (L.)","GM0893","1.58","1.05","0.53","2.11"
"Brunssum","GM0899","1.03","0.90","1.92","1.28"
"Gennep","GM0907","1.09","0.82","2.45","2.73"
"Heerlen","GM0917","1.46","1.42","2.17","2.12"
"Kerkrade","GM0928","1.29","1.08","2.45","2.01"
"Maastricht","GM0935","1.17","1.34","1.62","1.94"
"Meerssen","GM0938","0.75","2.45","1.13","2.08"
"Mook en Middelaar","GM0944","0.78","0.78","3.11","3.89"
"Nederweert","GM0946","0.93","1.55","3.41","2.48"
"Roermond","GM0957","0.97","0.97","1.49","1.64"
"Simpelveld","GM0965","0.95","0.48","0.48","2.38"
"Stein (L.)","GM0971","0.46","0.62","1.38","3.38"
"Vaals","GM0981","1.11","0.74","1.11","1.85"
"Venlo","GM0983","1.29","1.80","2.08","2.36"
"Venray","GM0984","1.71","0.92","1.45","2.11"
"Voerendaal","GM0986","1.16","2.03","2.03","1.74"
"Weert","GM0988","1.08","0.83","1.50","1.67"
"Valkenburg aan de Geul","GM0994","1.28","0.85","0.43","2.13"
"Lelystad","GM0995","0.99","0.84","0.84","1.15"
"Horst aan de Maas","GM1507","1.04","1.95","3.51","2.99"
"Oude IJsselstreek","GM1509","1.06","1.28","0.64","1.70"
"Teylingen","GM1525","0.70","0.56","0.85","0.99"
"Utrechtse Heuvelrug","GM1581","0.63","1.17","0.63","1.25"
"Oost Gelre","GM1586","0.49","1.64","1.31","1.80"
"Koggenland","GM1598","0.24","0.95","0.71","1.42"
"Lansingerland","GM1621","0.51","0.64","0.90","2.56"
"Leudal","GM1640","1.69","1.45","2.89","3.61"
"Maasgouw","GM1641","1.15","1.31","1.97","2.30"
"Gemert-Bakel","GM1652","2.13","2.55","4.26","1.70"
"Halderberge","GM1655","1.25","1.72","1.25","1.41"
"Heeze-Leende","GM1658","0.60","1.40","0.60","0.80"
"Laarbeek","GM1659","1.25","1.00","4.25","3.25"
"Reusel-De Mierden","GM1667","0.00","1.36","0.45","1.36"
"Roerdalen","GM1669","0.48","0.95","1.90","2.62"
"Roosendaal","GM1674","1.10","1.16","1.10","1.61"
"Schouwen-Duiveland","GM1676","1.39","0.76","1.14","1.14"
"Aa en Hunze","GM1680","1.25","1.25","1.04","0.83"
"Borger-Odoorn","GM1681","1.15","0.77","1.15","0.96"
"Cuijk","GM1684","0.39","1.76","1.96","2.94"
"Landerd","GM1685","1.80","1.20","3.00","3.90"
"De Wolden","GM1690","1.04","0.63","1.46","1.46"
"Noord-Beveland","GM1695","2.00","1.00","1.00","0.50"
"Wijdemeren","GM1696","1.02","1.22","0.82","1.02"
"Noordenveld","GM1699","1.23","1.08","1.08","0.77"
"Twenterand","GM1700","0.63","0.51","1.39","0.89"
"Westerveld","GM1701","0.38","1.35","0.77","1.35"
"Sint Anthonis","GM1702","2.18","1.09","2.55","2.18"
"Lingewaard","GM1705","1.57","2.00","2.14","1.43"
"Cranendonck","GM1706","0.83","1.88","2.50","3.75"
"Steenwijkerland","GM1708","1.03","1.13","1.24","1.13"
"Moerdijk","GM1709","1.10","1.37","0.96","1.37"
"Echt-Susteren","GM1711","1.07","1.43","1.61","2.14"
"Sluis","GM1714","0.68","1.36","1.36","1.53"
"Drimmelen","GM1719","0.75","1.51","1.32","2.45"
"Bernheze","GM1721","1.55","2.24","4.31","4.83"
"Alphen-Chaam","GM1723","0.48","0.48","3.81","1.43"
"Bergeijk","GM1724","0.79","2.11","1.32","1.58"
"Bladel","GM1728","1.52","0.43","1.30","2.39"
"Gulpen-Wittem","GM1729","0.38","0.77","1.15","1.15"
"Tynaarlo","GM1730","0.74","1.05","0.95","0.32"
"Midden-Drenthe","GM1731","0.83","0.83","1.39","1.11"
"Overbetuwe","GM1734","0.63","1.00","1.75","1.63"
"Hof van Twente","GM1735","0.93","1.40","0.58","1.16"
"Neder-Betuwe","GM1740","0.26","0.77","1.03","2.82"
"Rijssen-Holten","GM1742","1.13","0.70","0.85","1.27"
"Geldrop-Mierlo","GM1771","1.17","1.04","1.04","1.95"
"Olst-Wijhe","GM1773","1.11","1.11","2.00","1.78"
"Dinkelland","GM1774","1.13","1.13","0.97","2.26"
"Westland","GM1783","1.01","1.19","0.89","1.96"
"Midden-Delfland","GM1842","0.77","1.15","1.54","0.38"
"Berkelland","GM1859","0.71","1.31","1.31","1.31"
"Bronckhorst","GM1876","1.29","0.86","1.71","2.14"
"Sittard-Geleen","GM1883","0.79","1.31","1.35","2.10"
"Kaag en Braassem","GM1884","2.06","1.47","0.88","1.47"
"Dantumadiel","GM1891","0.00","1.28","1.03","2.05"
"Zuidplas","GM1892","0.29","0.59","0.74","1.62"
"Peel en Maas","GM1894","1.14","3.92","5.70","4.30"
"Oldambt","GM1895","1.41","0.30","1.52","0.71"
"Zwartewaterland","GM1896","0.58","2.03","2.61","4.06"
"Súdwest-Fryslân","GM1900","1.03","1.27","1.52","0.85"
"Bodegraven-Reeuwijk","GM1901","0.82","0.82","2.86","1.43"
"Eijsden-Margraten","GM1903","0.83","0.63","1.67","2.92"
"Stichtse Vecht","GM1904","0.91","0.83","1.40","1.07"
"Hollands Kroon","GM1911","0.59","1.18","0.94","1.53"
"Leidschendam-Voorburg","GM1916","0.75","0.62","1.30","0.96"
"Goeree-Overflakkee","GM1924","1.86","0.93","1.24","2.27"
"Pijnacker-Nootdorp","GM1926","0.75","0.75","1.31","2.25"
"Nissewaard","GM1930","1.56","0.96","1.56","1.70"
"Krimpenerwaard","GM1931","0.84","0.84","1.58","2.42"
"De Fryske Marren","GM1940","0.18","1.36","0.82","1.55"
"Gooise Meren","GM1942","0.39","1.09","1.33","1.09"
"Berg en Dal","GM1945","0.79","0.79","2.18","1.58"
"Meierijstad","GM1948","1.20","3.66","4.58","5.56"
"Waadhoeke","GM1949","1.01","1.24","1.35","0.90"
"Westerwolde","GM1950","1.43","0.95","0.63","0.95"
"Midden-Groningen","GM1952","1.20","0.93","1.67","0.83"
"Beekdaelen","GM1954","1.49","1.35","1.35","2.43"
"Montferland","GM1955","1.14","0.91","1.14","0.68"
"Altena","GM1959","1.10","0.33","1.10","1.32"
"West Betuwe","GM1960","1.00","1.00","1.44","2.33"
"Vijfheerenlanden","GM1961","1.05","0.97","1.45","1.77"
"Hoeksche Waard","GM1963","1.13","1.19","1.07","1.13"
"Het Hogeland","GM1966","0.71","1.43","1.22","1.02"
"Westerkwartier","GM1969","0.61","1.22","1.22","1.39"
"Noardeast-Fryslân","GM1970","1.00","0.40","1.10","1.30"
"Molenlanden","GM1978","1.13","0.19","0.94","0.94"